method,dataset,n,layout,ED_frac,ED,d_max,instance,seed,status,objective,profit,rental,arrival,time_s,time_to_best_s,n_items,n_truck,n_drone,n_rendv,W_final,W_capacity,evals,reheats,error
SA,ttd300,100,3,0.75,282.0,376.0,ttd300_n100_L3_f075,0,ok,-35801.07,86159.0,121960.07,2439.2014,1200.6672,1200.6671,100,74,26,26,100519.0,227504.0,33418884,89,
VNS,ttd300,100,3,0.75,282.0,376.0,ttd300_n100_L3_f075,0,ok,-51722.496,84862.0,136584.496,2731.6899,1200.0001,1106.9899,98,85,13,13,98502.0,227504.0,6641509,,
SA,ttd300,100,4,0.75,278.0,371.0,ttd300_n100_L4_f075,0,ok,-22811.3761,84996.0,107807.3761,2156.1475,1200.4337,1200.4336,100,70,30,30,100434.0,227504.0,33643669,90,
VNS,ttd300,100,4,0.75,278.0,371.0,ttd300_n100_L4_f075,0,ok,-49790.379,83197.0,132987.379,2659.7476,1200.0001,605.6846,96,86,10,10,96418.0,227504.0,17543428,,
SA,ttd300,100,5,0.75,274.0,366.0,ttd300_n100_L5_f075,0,ok,-31702.6008,83859.0,115561.6008,2311.232,1200.8512,1200.8511,100,74,26,26,100506.0,227504.0,33843032,90,
VNS,ttd300,100,5,0.75,274.0,366.0,ttd300_n100_L5_f075,0,ok,-44094.0531,82368.0,126462.0531,2529.2411,1201.3619,618.6699,97,85,12,12,97496.0,227504.0,7680279,,
SA,ttd300,100,1,1.0,393.0,393.0,ttd300_n100_L1_f100,0,ok,-42396.7028,83464.0,125860.7028,2517.2141,1200.4692,1200.4691,99,74,25,25,99489.0,227504.0,33378052,89,
VNS,ttd300,100,1,1.0,393.0,393.0,ttd300_n100_L1_f100,0,ok,-59495.9462,83251.0,142746.9462,2854.9389,1204.9278,825.3211,98,87,11,11,98488.0,227504.0,10022868,,
SA,ttd300,100,2,1.0,390.0,390.0,ttd300_n100_L2_f100,0,ok,-34659.3225,85234.0,119893.3225,2397.8665,1200.8229,1200.8228,100,73,27,27,100418.0,227504.0,33273573,89,
SA,ttd300,100,3,1.0,376.0,376.0,ttd300_n100_L3_f100,0,ok,-37856.5761,85751.0,123607.5761,2472.1515,1200.629,1200.629,99,69,30,30,99516.0,227504.0,32991228,88,
VNS,ttd300,100,3,1.0,376.0,376.0,ttd300_n100_L3_f100,0,ok,-47047.4205,85521.0,132568.4205,2651.3684,1200.3927,1176.5725,99,87,12,12,99511.0,227504.0,11002839,,
