param,value,dataset,n,layout,ED_frac,ED,d_max,instance,seed,status,objective,profit,rental,arrival,time_s,time_to_best_s,n_items,n_truck,n_drone,n_rendv,W_final,W_capacity,evals,reheats,error,R,vmin,vD
R,25,ttd300,20,1,0.25,96.0,384.0,ttd300_n20_L1_f025,1,ok,-19588.0467,17523.0,37111.0467,1484.4419,300.0163,2.8973,20,14,6,6,20078.0,45501.0,29170385,381,,25.0,0.1,2.0
R,50,ttd300,20,1,0.25,96.0,384.0,ttd300_n20_L1_f025,1,ok,-54904.7824,12974.0,67878.7824,1357.5756,300.0163,5.1795,15,10,5,6,15059.0,45501.0,30233417,395,,50.0,0.1,2.0
Wcap,0.25,ttd300,20,1,0.25,96.0,384.0,ttd300_n20_L1_f025,1,ok,-60190.1601,5125.0,65315.1601,1306.3032,300.0161,10.635,6,4,2,6,6029.0,11375.25,31275869,409,,50.0,0.1,2.0
Wcap,0.5,ttd300,20,1,0.25,96.0,384.0,ttd300_n20_L1_f025,1,ok,-58308.5361,9406.0,67714.5361,1354.2907,300.0163,3.4053,11,6,5,6,11051.0,22750.5,30606020,400,,50.0,0.1,2.0
Wcap,1,ttd300,20,1,0.25,96.0,384.0,ttd300_n20_L1_f025,1,ok,-54904.7824,12974.0,67878.7824,1357.5756,300.0166,5.1854,15,10,5,6,15059.0,45501.0,29581011,386,,50.0,0.1,2.0
Wcap,2,ttd300,20,1,0.25,96.0,384.0,ttd300_n20_L1_f025,1,ok,-50977.5125,17523.0,68500.5125,1370.0103,300.017,2.2374,20,14,6,6,20078.0,91002.0,30040216,392,,50.0,0.1,2.0
Wcap,4,ttd300,20,1,0.25,96.0,384.0,ttd300_n20_L1_f025,1,ok,-48671.3363,17523.0,66194.3363,1323.8867,300.0166,53.7203,20,14,6,6,20078.0,182004.0,30614653,400,,50.0,0.1,2.0
baseline,-,ttd300,20,1,0.25,96.0,384.0,ttd300_n20_L1_f025,1,ok,-54904.7824,12974.0,67878.7824,1357.5756,300.0159,5.1884,15,10,5,6,15059.0,45501.0,30051621,392,,50.0,0.1,2.0
vDfact,1,ttd300,20,1,0.25,96.0,384.0,ttd300_n20_L1_f025,1,ok,-58262.5893,13960.0,72222.5893,1444.4518,300.0151,5.0669,16,11,5,6,16063.0,45501.0,32363155,423,,50.0,0.1,1.0
vDfact,0.5,ttd300,20,1,0.25,96.0,384.0,ttd300_n20_L1_f025,1,ok,-60871.718,11346.0,72217.718,1444.3544,300.0209,1.7675,13,12,1,1,13060.0,45501.0,34324026,449,,50.0,0.1,0.5
vDfact,2,ttd300,20,1,0.25,96.0,384.0,ttd300_n20_L1_f025,1,ok,-54904.7824,12974.0,67878.7824,1357.5756,300.0164,5.1909,15,10,5,6,15059.0,45501.0,30021047,392,,50.0,0.1,2.0
vDfact,3,ttd300,20,1,0.25,96.0,384.0,ttd300_n20_L1_f025,1,ok,-54738.1152,12974.0,67712.1152,1354.2423,300.0162,8.2226,15,10,5,6,15059.0,45501.0,29935625,391,,50.0,0.1,3.0
vDfact,4,ttd300,20,1,0.25,96.0,384.0,ttd300_n20_L1_f025,1,ok,-54738.1152,12974.0,67712.1152,1354.2423,300.0164,30.7961,15,10,5,6,15059.0,45501.0,29681637,388,,50.0,0.1,4.0
vmin,0.05,ttd300,20,1,0.25,96.0,384.0,ttd300_n20_L1_f025,1,ok,-55160.5635,12974.0,68134.5635,1362.6913,300.0169,4.4957,15,10,5,6,15059.0,45501.0,29573606,386,,50.0,0.05,2.0
vmin,0.1,ttd300,20,1,0.25,96.0,384.0,ttd300_n20_L1_f025,1,ok,-54904.7824,12974.0,67878.7824,1357.5756,300.0165,5.1661,15,10,5,6,15059.0,45501.0,30245313,395,,50.0,0.1,2.0
vmin,0.25,ttd300,20,1,0.25,96.0,384.0,ttd300_n20_L1_f025,1,ok,-54042.1048,13960.0,68002.1048,1360.0421,300.0165,12.8135,16,11,5,6,16063.0,45501.0,30049189,392,,50.0,0.25,2.0
vmin,0.5,ttd300,20,1,0.25,96.0,384.0,ttd300_n20_L1_f025,1,ok,-51527.5543,17523.0,69050.5543,1381.0111,300.0178,37.083,20,14,6,6,20078.0,45501.0,29028140,379,,50.0,0.5,2.0
vmin,0.9,ttd300,20,1,0.25,96.0,384.0,ttd300_n20_L1_f025,1,ok,-47495.4385,17523.0,65018.4385,1300.3688,300.0169,7.4546,20,14,6,6,20078.0,45501.0,30249128,395,,50.0,0.9,2.0
R,1,ttd300,20,1,0.5,192.0,384.0,ttd300_n20_L1_f050,1,ok,16178.5262,17523.0,1344.4738,1344.4738,300.0797,300.0797,20,12,8,8,20078.0,45501.0,27309490,356,,1.0,0.1,2.0
R,12.5,ttd300,20,1,0.5,192.0,384.0,ttd300_n20_L1_f050,1,ok,717.0778,17523.0,16805.9222,1344.4738,300.0726,64.7955,20,12,8,8,20078.0,45501.0,26593859,347,,12.5,0.1,2.0
R,100,ttd300,20,1,0.5,192.0,384.0,ttd300_n20_L1_f050,1,ok,-109363.8958,10406.0,119769.8958,1197.699,300.0851,123.4129,12,7,5,8,12060.0,45501.0,27591754,360,,100.0,0.1,2.0
R,200,ttd300,20,1,0.5,192.0,384.0,ttd300_n20_L1_f050,1,ok,-228060.6581,7798.0,235858.6581,1179.2933,300.0907,86.7467,9,5,4,8,9039.0,45501.0,27504628,359,,200.0,0.1,2.0
R,25,ttd300,20,1,0.5,192.0,384.0,ttd300_n20_L1_f050,1,ok,-16088.8443,17523.0,33611.8443,1344.4738,300.1279,300.1279,20,12,8,8,20078.0,45501.0,26738361,349,,25.0,0.1,2.0
