n,ED_frac,param,value,n_layouts,objective,rental,arrival,n_truck,n_drone,n_rendv,n_items,profit,time_to_best_s,evals
20,0.75,vDfact,4,1,-22123.7,39646.7,792.9,10.0,10.0,10.0,20.0,17523.0,300.1,24178177.0
20,0.75,vmin,0.05,1,-29434.0,46957.0,939.1,11.0,9.0,9.0,20.0,17523.0,300.3,25673239.0
20,0.75,vmin,0.1,1,-29438.9,46961.9,939.2,11.0,9.0,9.0,20.0,17523.0,300.3,25314232.0
20,0.75,vmin,0.25,1,-28361.0,45884.0,917.7,11.0,9.0,9.0,20.0,17523.0,144.2,25393535.0
20,0.75,vmin,0.5,1,-26669.0,44192.0,883.8,11.0,9.0,9.0,20.0,17523.0,93.3,25641813.0
20,0.75,vmin,0.9,1,-24118.3,41641.3,832.8,11.0,9.0,9.0,20.0,17523.0,300.4,25611507.0
20,1.0,R,1,1,16614.8,908.2,908.2,13.0,7.0,7.0,20.0,17523.0,57.4,27300589.0
20,1.0,R,100,1,-71779.8,83267.8,832.7,8.0,5.0,7.0,13.0,11488.0,300.3,26722671.0
20,1.0,R,12.5,1,6170.3,11352.7,908.2,13.0,7.0,7.0,20.0,17523.0,17.3,26443582.0
20,1.0,R,200,1,-152518.1,159653.1,798.3,4.0,4.0,6.0,8.0,7135.0,86.8,26900897.0
20,1.0,R,25,1,-5215.0,22738.0,909.5,14.0,6.0,6.0,20.0,17523.0,16.1,26591405.0
20,1.0,R,50,1,-27953.1,45476.1,909.5,14.0,6.0,6.0,20.0,17523.0,139.7,25689643.0
20,1.0,Wcap,0.25,1,-36101.4,41276.4,825.5,4.0,2.0,7.0,6.0,5175.0,120.2,27276528.0
20,1.0,Wcap,0.5,1,-33178.2,43854.2,877.1,8.0,4.0,6.0,12.0,10676.0,178.0,26794058.0
20,1.0,Wcap,1,1,-27953.1,45476.1,909.5,14.0,6.0,6.0,20.0,17523.0,140.6,25825260.0
20,1.0,Wcap,2,1,-24028.5,41551.5,831.0,14.0,6.0,6.0,20.0,17523.0,300.1,26609925.0
20,1.0,Wcap,4,1,-23145.2,40668.2,813.4,14.0,6.0,6.0,20.0,17523.0,265.7,26768815.0
20,1.0,baseline,-,1,-27953.1,45476.1,909.5,14.0,6.0,6.0,20.0,17523.0,137.8,26185187.0
20,1.0,vDfact,0.5,1,-48907.7,62779.7,1255.6,13.0,3.0,3.0,16.0,13872.0,28.2,34185361.0
20,1.0,vDfact,1,1,-41574.5,57344.5,1146.9,13.0,5.0,5.0,18.0,15770.0,298.2,31061062.0
20,1.0,vDfact,2,1,-27953.1,45476.1,909.5,14.0,6.0,6.0,20.0,17523.0,140.6,25532582.0
20,1.0,vDfact,3,1,-22423.2,39946.2,798.9,10.0,10.0,10.0,20.0,17523.0,300.1,24489394.0
20,1.0,vDfact,4,1,-18461.4,35984.4,719.7,10.0,10.0,10.0,20.0,17523.0,300.1,23544695.0
20,1.0,vmin,0.05,1,-28415.0,45066.0,901.3,13.0,6.0,6.0,19.0,16651.0,223.4,25814738.0
20,1.0,vmin,0.1,1,-27953.1,45476.1,909.5,14.0,6.0,6.0,20.0,17523.0,139.8,25708171.0
20,1.0,vmin,0.25,1,-26565.9,44088.9,881.8,13.0,7.0,7.0,20.0,17523.0,76.0,25782269.0
20,1.0,vmin,0.5,1,-25097.1,42620.1,852.4,13.0,7.0,7.0,20.0,17523.0,237.0,26853919.0
20,1.0,vmin,0.9,1,-22308.2,39831.2,796.6,14.0,6.0,6.0,20.0,17523.0,142.5,26739487.0
30,0.25,R,1,1,23625.6,1597.4,1597.4,20.0,10.0,10.0,30.0,25223.0,378.7,35502910.0
30,0.25,R,100,1,-121737.5,133026.5,1330.3,9.0,4.0,8.0,13.0,11289.0,33.5,34039158.0
30,0.25,R,12.5,1,5433.6,19789.4,1583.1,21.0,9.0,9.0,30.0,25223.0,450.5,33927599.0
30,0.25,R,200,1,-252595.7,258800.7,1294.0,5.0,2.0,8.0,7.0,6205.0,300.0,35150083.0
30,0.25,R,25,1,-14731.0,39399.0,1576.0,21.0,8.0,8.0,29.0,24668.0,450.3,33949795.0
30,0.25,R,50,1,-52773.7,74198.7,1484.0,18.0,7.0,9.0,25.0,21425.0,450.3,34753946.0
30,0.25,Wcap,0.25,1,-61342.7,68101.7,1362.0,5.0,3.0,9.0,8.0,6759.0,277.4,35474177.0
30,0.25,Wcap,0.5,1,-57732.0,69021.0,1380.4,7.0,6.0,10.0,13.0,11289.0,26.5,35071267.0
30,0.25,Wcap,1,1,-52773.7,74198.7,1484.0,18.0,7.0,9.0,25.0,21425.0,450.3,34302866.0
30,0.25,Wcap,2,1,-45293.1,70516.1,1410.3,22.0,8.0,8.0,30.0,25223.0,450.2,33233471.0
30,0.25,Wcap,4,1,-41806.5,67029.5,1340.6,22.0,8.0,8.0,30.0,25223.0,450.2,34006877.0
30,0.25,baseline,-,1,-52773.7,74198.7,1484.0,18.0,7.0,9.0,25.0,21425.0,450.3,34939739.0
30,0.25,vDfact,0.5,1,-59666.2,78373.2,1567.5,20.0,2.0,3.0,22.0,18707.0,82.2,39263837.0
30,0.25,vDfact,1,1,-57224.1,77887.1,1557.7,18.0,6.0,8.0,24.0,20663.0,450.3,36544906.0
