factor,dataset,n,layout,ED_frac,ED,d_max,instance,seed,status,objective,profit,rental,arrival,time_s,time_to_best_s,n_items,n_truck,n_drone,n_rendv,W_final,W_capacity,evals,reheats,error,vD
0,ttd300,75,1,0.5,187.0,374.0,ttd300_n75_L1_f050,1,ok,-80272.4982,54817.0,135089.4982,2701.79,975.3134,975.3133,68,68,0,0,68277.0,170628.0,48328485,174,,1e-06
1,ttd300,75,1,0.5,187.0,374.0,ttd300_n75_L1_f050,1,ok,-46723.2057,57180.0,103903.2057,2078.0641,975.5252,975.5252,72,58,14,15,72316.0,170628.0,37971014,136,,1.0
0.5,ttd300,75,1,0.5,187.0,374.0,ttd300_n75_L1_f050,1,ok,-56289.1099,56245.0,112534.1099,2250.6822,1025.0544,1025.0543,69,60,9,9,69286.0,170628.0,40419922,145,,0.5
2,ttd300,75,1,0.5,187.0,374.0,ttd300_n75_L1_f050,1,ok,-33963.2147,58031.0,91994.2147,1839.8843,975.3643,975.3643,73,47,26,26,73308.0,170628.0,35565642,127,,2.0
3,ttd300,75,1,0.5,187.0,374.0,ttd300_n75_L1_f050,1,ok,-26822.0064,58114.0,84936.0064,1698.7201,975.7271,975.7271,73,43,30,30,73309.0,170628.0,35147361,125,,3.0
0,ttd300,75,1,0.75,280.0,374.0,ttd300_n75_L1_f075,1,ok,-80434.0587,54817.0,135251.0587,2705.0212,975.235,1.0448,68,68,0,0,68277.0,170628.0,49734907,179,,1e-06
0.5,ttd300,75,1,0.75,280.0,374.0,ttd300_n75_L1_f075,1,ok,-54265.4957,58114.0,112379.4957,2247.5899,1014.8101,1014.8101,73,65,8,8,73309.0,170628.0,40248629,144,,0.5
1,ttd300,75,1,0.75,280.0,374.0,ttd300_n75_L1_f075,1,ok,-45282.7547,58114.0,103396.7547,2067.9351,975.1597,323.3059,73,58,15,15,73309.0,170628.0,37953031,136,,1.0
2,ttd300,75,1,0.75,280.0,374.0,ttd300_n75_L1_f075,1,ok,-34560.7144,58888.0,93448.7144,1868.9743,975.3533,975.3533,75,52,23,23,75317.0,170628.0,35969218,128,,2.0
3,ttd300,75,1,0.75,280.0,374.0,ttd300_n75_L1_f075,1,ok,-27905.7777,57594.0,85499.7777,1709.9956,975.4855,975.4855,72,46,26,28,72302.0,170628.0,34528204,123,,3.0
0,ttd300,75,1,1.0,374.0,374.0,ttd300_n75_L1_f100,1,ok,-80272.4982,54817.0,135089.4982,2701.79,975.3724,975.3724,68,68,0,0,68277.0,170628.0,51463824,185,,1e-06
0.5,ttd300,75,1,1.0,374.0,374.0,ttd300_n75_L1_f100,1,ok,-55126.4488,55579.0,110705.4488,2214.109,1005.5317,1005.5317,68,61,7,7,68279.0,170628.0,42319771,151,,0.5
1,ttd300,75,1,1.0,374.0,374.0,ttd300_n75_L1_f100,1,ok,-46100.1067,57230.0,103330.1067,2066.6021,975.2743,975.2743,71,56,15,15,71296.0,170628.0,39256454,140,,1.0
2,ttd300,75,1,1.0,374.0,374.0,ttd300_n75_L1_f100,1,ok,-31553.7415,58888.0,90441.7415,1808.8348,975.5749,975.5749,75,53,22,22,75317.0,170628.0,35838829,128,,2.0
3,ttd300,75,1,1.0,374.0,374.0,ttd300_n75_L1_f100,1,ok,-27110.9187,57688.0,84798.9187,1695.9784,975.2511,975.251,72,46,26,27,72302.0,170628.0,34862269,124,,3.0
0,ttd300,100,1,0.25,98.0,393.0,ttd300_n100_L1_f025,1,ok,-74047.4168,82099.0,156146.4168,3122.9283,1200.3607,1044.1308,96,96,0,0,96478.0,227504.0,46034543,125,,1e-06
0.5,ttd300,100,1,0.25,98.0,393.0,ttd300_n100_L1_f025,1,ok,-65018.1145,79857.0,144875.1145,2897.5023,1201.2903,1201.2902,92,82,10,10,92455.0,227504.0,40738485,110,,0.5
1,ttd300,100,1,0.25,98.0,393.0,ttd300_n100_L1_f025,1,ok,-55172.147,82763.0,137935.147,2758.7029,1200.8301,1200.83,97,78,19,20,97482.0,227504.0,39002626,104,,1.0
2,ttd300,100,1,0.25,98.0,393.0,ttd300_n100_L1_f025,1,ok,-44719.495,82710.0,127429.495,2548.5899,1200.5084,1200.5083,97,66,31,31,97482.0,227504.0,37562403,100,,2.0
3,ttd300,100,1,0.25,98.0,393.0,ttd300_n100_L1_f025,1,ok,-40429.709,83189.0,123618.709,2472.3742,1200.4056,1200.4055,98,69,29,30,98482.0,227504.0,37549218,100,,3.0
0,ttd300,100,1,0.5,196.0,393.0,ttd300_n100_L1_f050,1,ok,-89452.6473,78659.0,168111.6473,3362.2329,1200.7091,1200.709,90,90,0,0,90453.0,227504.0,46412200,126,,1e-06
0.5,ttd300,100,1,0.5,196.0,393.0,ttd300_n100_L1_f050,1,ok,-62420.1985,81044.0,143464.1985,2869.284,1310.6094,1310.6093,94,85,9,9,94465.0,227504.0,23038318,60,,0.5
1,ttd300,100,1,0.5,196.0,393.0,ttd300_n100_L1_f050,1,ok,-51199.5523,83677.0,134876.5523,2697.531,1200.5426,1200.5425,99,81,18,18,99488.0,227504.0,36864011,99,,1.0
